type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2023-12-28T23:28:59.629+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,1800.0,16.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-20,2024-02-21,2023-12-01T14:16:36.000+00:00,null
STEPS_GOAL,DAILY,5000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-20,2024-02-21,2023-12-01T14:16:36.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-30,2023-12-01,2023-12-01T14:16:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,3.72823,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-20,2024-02-21,2023-12-01T14:16:36.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-20,2024-02-21,2023-12-01T14:16:36.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,5358.0,INPROGRESS_SO_FAR_MISSED,true,2024-02-18,2024-02-25,2023-12-01T14:16:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,2.31615,INPROGRESS_SO_FAR_MISSED,false,2024-02-18,2024-02-25,2023-12-01T14:16:36.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-26,2023-12-03,2023-12-01T14:16:36.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,14063.0,3727.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-18,2024-02-25,2023-12-01T14:16:36.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-26,2023-12-03,2023-12-01T14:16:36.000+00:00,null