date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2024-01-01,100.0,HIGH,100.0,80.0,45.0,LOW,HIGH,MEDIUM
2023-12-29,65.0,HIGH,65.0,90.0,42.0,LOW,HIGH,MEDIUM
2023-12-28,55.0,MEDIUM,55.0,90.0,62.0,MEDIUM,HIGH,MEDIUM
2023-12-27,15.0,LOW,15.0,72.0,35.0,HIGH,HIGH,MEDIUM
2023-12-26,17.0,LOW,17.0,57.0,28.0,HIGH,MEDIUM,LOW
2023-12-25,17.0,LOW,26.0,17.0,38.0,HIGH,LOW,MEDIUM
2023-12-24,74.0,HIGH,74.0,63.0,40.0,LOW,MEDIUM,MEDIUM
2023-12-23,85.0,HIGH,85.0,81.0,39.0,LOW,HIGH,MEDIUM
2023-12-21,29.0,LOW,29.0,91.0,38.0,HIGH,HIGH,MEDIUM
2023-12-20,1.0,LOW,0.0,93.0,30.0,HIGH,HIGH,MEDIUM
2023-12-19,1.0,LOW,0.0,94.0,29.0,HIGH,HIGH,LOW
2023-12-18,100.0,HIGH,100.0,92.0,42.0,LOW,HIGH,MEDIUM
2023-12-17,86.0,HIGH,86.0,80.0,60.0,LOW,HIGH,MEDIUM
2023-12-16,60.0,MEDIUM,60.0,81.0,32.0,MEDIUM,HIGH,MEDIUM
2023-12-15,37.0,MEDIUM,37.0,91.0,58.0,MEDIUM,HIGH,MEDIUM
2023-12-14,4.0,LOW,4.0,88.0,59.0,HIGH,HIGH,MEDIUM
2023-12-13,2.0,LOW,2.0,92.0,44.0,HIGH,HIGH,MEDIUM
2023-12-12,73.0,HIGH,73.0,93.0,57.0,LOW,HIGH,MEDIUM
2023-12-11,49.0,MEDIUM,49.0,95.0,59.0,MEDIUM,HIGH,MEDIUM
2023-12-10,34.0,MEDIUM,34.0,46.0,55.0,MEDIUM,MEDIUM,MEDIUM
2023-12-09,17.0,LOW,17.0,93.0,61.0,HIGH,HIGH,MEDIUM
2023-12-08,1.0,LOW,0.0,78.0,43.0,HIGH,HIGH,MEDIUM
2023-12-07,1.0,LOW,0.0,95.0,54.0,HIGH,HIGH,MEDIUM
2023-12-06,1.0,LOW,0.0,91.0,51.0,HIGH,HIGH,MEDIUM
2023-12-05,59.0,MEDIUM,59.0,95.0,59.0,MEDIUM,HIGH,MEDIUM