type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-12-01T23:00:30,2023-12-02T08:39:30,578,32.41453287197232,NaN,NaN,NaN,NaN
IDT,2023-12-03T01:12:30,2023-12-03T09:15,479,33.455323590814196,NaN,NaN,NaN,NaN
IDT,2023-12-03T23:21:30,2023-12-04T09:14:30,565,32.84902654867257,0.0,2537.5119646016974,0.5227533163978295,2.121116377997705
IDT,2023-12-04T23:24:30,2023-12-05T08:03,518,34.54420849420849,721.0733138729302,1562.555779883638,0.9235103589063286,1.829105717604849
IDT,2023-12-05T23:12,2023-12-06T07:10:30,479,33.364509394572025,0.0,1111.0766597078182,0.800080362773546,1.7677935848570443
IDT,2023-12-06T23:29,2023-12-07T07:14:30,464,32.87715517241379,-113.0661795407068,828.6694848188199,0.7386528725965523,1.700740519504448
IDT,2023-12-07T23:46,2023-12-08T07:50:30,480,33.24104166666667,0.0,958.4414791667368,0.6743048062061283,1.653731078706275
IDT,2023-12-08T23:47,2023-12-09T07:47:30,481,33.515176715176715,102.16496977209499,529.3591705791187,0.6313171700935025,1.5698481870885352
IDT,2023-12-10T02:18,2023-12-10T10:40,502,32.744621513944224,-249.2029166666689,1527.3298280381132,0.6171723240363626,1.6057916238539338
IDT,2023-12-10T22:26,2023-12-11T08:03:30,570,32.39561403508772,-378.186099137929,1470.2196062826551,0.6379735181367593,1.610362238530036
IDT,2023-12-11T23:15:30,2023-12-12T07:27,491,32.85580448065173,-10.483189655167735,1443.094780581072,0.6112756379325668,1.6219470468828507
IDT,2023-12-12T23:21,2023-12-13T07:58,517,31.829400386847194,-536.1700703174356,1593.0640702208038,0.6908429859727652,1.6335686511662084
IDT,2023-12-13T23:47,2023-12-14T08:37:30,522,33.25708812260536,198.32500000000437,955.0889762933366,0.6650529086575023,1.6110633961817689
IDT,2023-12-14T22:53,2023-12-15T08:24:30,570,32.40736842105263,-261.6935011236674,1149.635523737641,0.6600349589375244,1.592697756560951
IDT,2023-12-16T00:42,2023-12-16T07:19:30,396,31.431565656565656,-563.9985743380839,1551.8640955945011,0.7515500055721637,1.6122551317288798
IDT,2023-12-17T00:08,2023-12-17T07:56:30,469,33.45330490405117,275.220961356139,1124.3739393812139,0.7401342111439989,1.6119076826505585
IDT,2023-12-17T22:42:30,2023-12-18T07:33:30,510,33.43882352941176,286.45086206896667,449.9416791766416,0.7278174851978301,1.577882265744728
IDT,2023-12-18T22:15,2023-12-19T08:08:30,579,33.51243523316062,262.4820150862106,1885.1632266731467,0.7186173280688027,1.5962155442738384
IDT,2023-12-19T23:14,2023-12-20T08:33:30,549,33.69253187613843,247.86812500000087,992.8894123698119,0.717400731068455,1.5817863072603497
IDT,2023-12-20T23:23:30,2023-12-21T08:40:30,546,34.280036630036626,562.9105675287392,863.5772839479614,0.7534112623842802,1.5633244281790932
IDT,2023-12-22T01:14:30,2023-12-22T07:41:30,373,33.162734584450405,-29.20854166666686,1047.3592463976238,0.7345673420292294,1.567999036217549
IDT,2023-12-23T00:32:30,2023-12-23T08:02:30,445,33.5238202247191,122.26612188697436,1162.2607742950786,0.7230261652277473,1.5697589981478643
IDT,2023-12-23T23:23:30,2023-12-24T06:59,455,33.050989010989014,-86.47395833333394,646.2116603732575,0.7064830295731606,1.5556103099342264
IDT,2023-12-25T01:50:30,2023-12-25T06:46,295,32.81559322033898,-113.9569970397697,754.7292785570025,0.6933864745916826,1.5571629619062497
IDT,2023-12-26T00:13,2023-12-26T08:32:30,497,33.126156941649896,-18.179088471850264,1347.5649079631548,0.6788300606969764,1.561277141084179
IDT,2023-12-27T00:58,2023-12-27T08:26:30,441,32.75442176870748,-172.0005815051154,1493.4182313788915,0.6683544039035112,1.5729569422133383
IDT,2023-12-28T00:17:30,2023-12-28T08:46:30,498,33.3285140562249,82.55817694369762,1282.421551365871,0.6571652142023349,1.5741694959856536
IDT,2023-12-29T01:02:30,2023-12-29T09:36:30,502,32.080876494023904,-533.9117730511734,1816.3085685309488,0.6722735536429297,1.5885419922281838
IDT,2024-01-01T01:25:30,2024-01-01T10:05:30,515,32.38990291262136,-388.58956797082647,2323.1949754089583,0.6731515010400917,1.6121672383058978